City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
0,puerto ayora,-0.7393,-90.3518,23.98,90,58,3.58,EC,1722980481
1,alto araguaia,-17.3147,-53.2153,23.29,30,0,2.69,BR,1722980482
2,marsa alam,25.0757,34.8918,31.62,47,4,0.49,EG,1722980483
3,tieli,46.95,128.05,21.35,93,100,1.27,CN,1722980484
4,la'ie,21.6477,-157.9253,30.0,71,8,4.92,US,1722980486
5,stanley,54.868,-1.6985,14.33,76,0,4.12,GB,1722980487
6,cockburn town,21.4612,-71.1419,28.18,84,82,7.45,TC,1722980488
7,waitangi,-43.9535,-176.5597,9.34,96,0,1.52,NZ,1722980489
8,edinburgh of the seven seas,-37.0676,-12.3116,10.37,61,96,9.64,SH,1722980490
9,yellowknife,62.456,-114.3525,20.79,50,20,3.6,CA,1722980491
10,hithadhoo,-0.6,73.0833,27.74,73,18,0.91,MV,1722980492
11,whitehorse,60.7161,-135.0538,26.72,28,0,7.2,CA,1722980493
12,badger,64.8,-147.5333,27.12,39,75,2.57,US,1722980494
13,kapuskasing,49.4169,-82.4331,21.05,45,75,5.66,CA,1722980282
14,port elizabeth,-33.918,25.5701,10.17,93,0,2.06,ZA,1722980496
15,port-aux-francais,-49.35,70.2167,2.7,79,53,4.98,TF,1722980497
16,fort bragg,35.139,-79.006,25.11,94,75,4.63,US,1722980499
17,pisco,-13.7,-76.2167,19.03,72,22,9.26,PE,1722980500
18,margate,51.3813,1.3862,17.61,77,100,4.89,GB,1722980501
19,anadyr,64.75,177.4833,5.28,75,75,7.0,RU,1722980502
20,adamstown,-25.066,-130.1015,18.85,64,42,4.39,PN,1722980503
21,papatowai,-46.5619,169.4708,8.98,61,57,2.86,NZ,1722980504
22,tazovsky,67.4667,78.7,5.06,93,0,5.95,RU,1722980505
23,carnarvon,-24.8667,113.6333,20.18,62,42,3.82,AU,1722980506
24,cadale,2.7603,46.3222,24.9,89,32,8.35,SO,1722980507
25,matiguas,12.8373,-85.4622,25.46,90,100,3.32,NI,1722980508
